Subgroup Name,Order,Currency,2022-12-30,2023-01-25,2023-01-03,2023-01-29,2022-12-02,2022-12-17,2022-12-03,2022-12-29,2022-12-04,2022-12-05,2022-12-07,2022-12-06,2023-01-23,2022-12-12,2022-12-08,2022-12-09,2022-12-10,2022-12-23,2022-12-11,2022-12-13,2022-12-14,2023-01-14,2022-12-15,2022-12-20,2022-12-16,2022-12-18,2022-12-19,2022-12-21,2022-12-26,2022-12-22,2023-01-09,2022-12-24,2022-12-25,2022-12-27,2022-12-28,2023-01-02,2022-12-31,2023-01-13,2023-01-01,2023-01-04,2023-01-07,2023-01-05,2023-01-06,2023-01-22,2023-01-08,2023-01-10,2023-01-11,2023-01-12,2023-01-30,2023-01-15,2023-01-18,2023-01-16,2023-01-17,2023-01-19,2023-01-20,2023-01-21,2023-01-24,2023-01-26,2023-01-27,2023-01-28
XXX,7,JPY,1310439.09,469928.83,1328172.78,1763119.1,2098946.51,1620981.8,2098946.51,1171784.31,2098946.51,1084926.27,595460.59,20756.34,1107835.41,1195711.58,1686819.15,1537022.41,1537022.41,1401035.73,1537022.41,1684047.95,1688542.73,1379905.64,1608026.1,1737755.62,1620981.8,1620981.8,648677.83,1308872.88,1404296.66,1729375.73,1488356.59,1401035.73,1401035.73,1126167.31,1775184.6,1317897.16,1310439.09,1379905.64,1310439.09,1726061.75,1497881.46,1424038.22,1497881.46,1045575.92,1497881.46,1994667.78,1708789.27,2340423.96,1544513.64,1379905.64,1814876,1817752.55,1790166.91,1184013.94,1045575.92,1045575.92,165975.04,1717233.73,1763119.1,1763119.1
XXX,3,CHF,5559135.08,5493002.12,5570408.45,5478855.71,5535687.35,5520497.86,5535687.35,5589340.66,5535687.35,5515913.19,5516353.3,5524623.15,5474014.99,5547894.06,5513333.48,5549578.5,5549578.5,5565328.66,5549578.5,5548033.28,5549346.38,5488773.55,5545189.73,5580428.77,5520497.86,5520497.86,5531934.92,5600700.42,5570678.27,5580159.19,5522108.59,5565328.66,5565328.66,5560884.44,5585223.23,5579733.34,5559135.08,5488773.55,5559135.08,5575883.09,5551618.95,5590978.39,5551618.95,5483929.99,5551618.95,5517783.77,5446638.28,5406647.85,5469241.62,5488773.55,5553343.69,5482472.28,5516953.39,5521213.03,5483929.99,5483929.99,5480296.04,5478610.44,5478855.71,5478855.71
XXX,8,NOK,98930.3,96329.87,97967.24,96988.68,100892.42,99082.85,100892.42,98645.55,100892.42,99526.21,98768.74,99054.64,97519.28,98757.77,98844.81,98815.33,98815.33,99164.95,98815.33,99942.49,99901.19,97522.62,99141.51,98895.6,99082.85,99082.85,98836.42,99633.4,99255.68,99313.06,97957.01,99164.95,99164.95,99369.83,98986.22,98876.87,98930.3,97522.62,98930.3,97280.86,97753.8,96460.33,97753.8,97236.41,97753.8,97081.89,96940.43,96997.11,96229.83,97522.62,97177.1,97159.05,97716,97177.1,97236.41,97236.41,97035.76,96870.98,96988.68,96988.68
XXX,10,SGD,4893866.43,4898639.71,4967975.95,4923037.73,4937097.38,4889305.9,4937097.38,4882191.07,4937097.38,4969644.56,4921579.63,4952567.42,4915460.25,4935894.17,4909042.64,4935102.67,4935102.67,4911307.55,4935102.67,4884766.99,4889869.91,4912961.84,4896899.91,4889989.47,4889305.9,4889305.9,4893491.88,4903915.89,4895611.99,4926200.67,4905234.69,4911307.55,4911307.55,4912133.06,4916292.86,4926637.92,4893866.43,4912961.84,4893866.43,4951885.42,4903295.89,4979858.01,4903295.89,4904370.59,4903295.89,4915972.02,4908783.19,4872067.13,4938886.16,4912961.84,4935466.67,4929849.68,4928374.27,4906880.6,4904370.59,4904370.59,4903197.17,4929147.98,4923037.73,4923037.73
XXX,6,HKD,1208399.57,1180435.25,1222643.5,1185579.83,1229902.55,1222922.13,1229902.55,1211667.1,1229902.55,1236850.3,1230767.61,1239815.28,1186746.99,1232546.72,1226519.08,1227124.51,1227124.51,1216841.89,1227124.51,1220132.24,1215925.99,1193241.22,1219848.33,1219370.02,1222922.13,1222922.13,1221717.23,1218822.86,1215019.75,1221196.72,1202300.27,1216841.89,1216841.89,1214260.18,1219184.7,1212183.65,1208399.57,1193241.22,1208399.57,1217151.02,1213539.21,1226186.26,1213539.21,1186676.79,1213539.21,1203400.64,1200229.5,1190540.01,1187478.13,1193241.22,1194336.16,1194246.35,1195749.22,1189913.67,1186676.79,1186676.79,1183760.68,1183415.64,1185579.83,1185579.83
XXX,1,AUD,2476335.64,2421401.05,2488171.67,2432360.99,2463704.27,2422322.54,2463704.27,2456607.66,2463704.27,2417654.84,2422792.78,2402520.03,2423830.91,2446599.36,2417712.06,2448581.27,2448581.27,2484521.12,2448581.27,2483525.83,2462329.76,2499958.4,2427613.44,2410897.88,2422322.54,2422322.54,2409141.08,2441919.41,2486621.85,2434783.54,2527122.56,2484521.12,2484521.12,2487807.79,2465158.74,2485501.55,2476335.64,2499958.4,2476335.64,2539299.31,2567282.92,2517213.19,2567282.92,2411358.84,2567282.92,2511308.21,2500463.28,2485928.87,2408007.41,2499958.4,2432095.6,2474030.4,2462629.87,2394987.01,2411358.84,2411358.84,2412697.27,2430967.33,2432360.99,2432360.99
XXX,12,ZAR,2650.43,2580.64,2687.07,2585.05,2614.02,2574.45,2614.02,2668.58,2614.02,2645.92,2667.98,2662.47,2595.2,2600.76,2660.79,2633.25,2633.25,2673.36,2633.25,2634.77,2632.13,2653.31,2596.41,2621.23,2574.45,2574.45,2626.65,2644.75,2666.7,2656.07,2661.38,2673.36,2673.36,2621.51,2653.03,2660.47,2650.43,2653.31,2650.43,2701.29,2643.91,2665.66,2643.91,2600.7,2643.91,2645.77,2650.87,2653.06,2569.58,2653.31,2642.03,2633.57,2621.03,2575.58,2600.7,2600.7,2581.81,2579.6,2585.05,2585.05
XXX,5,GBP,15789509.07,15639674.19,17162256.64,15644849.99,758311485.6,16614667.74,758311485.6,16483226.69,758311485.6,754371820,810395049.6,522555310.4,15696642.23,506124058.6,808726250.5,621923931.2,621923931.2,16663418.72,621923931.2,505308436.4,156416622,201784817.7,16649016.37,16912230.26,16614667.74,16614667.74,16381679.37,16807497.42,16675395.03,16710099.49,17114822.56,16663418.72,16663418.72,16615749.09,16552813.7,15832801.63,15789509.07,201784817.7,15789509.07,17178910.3,17078513.76,17064943.32,17078513.76,15697547.24,17078513.76,17045398.61,17070138.83,16998080.26,15635927.98,201784817.7,204267678.4,201421981.1,203177074.9,15656934.11,15697547.24,15697547.24,15632678.83,15658123.56,15644849.99,15644849.99
XXX,4,EUR,1012423705,1015131535,1015747149,1015806599,1035695721,612656066.1,1035695721,1014351732,1035695721,1015775004,1012579462,1016543363,1164691436,1015334241,1016182862,1021440588,1021440588,1014559113,1021440588,1014139117,1045619153,1387618464,1015168294,1045015463,612656066.1,612656066.1,1016362097,1053317510,1014559627,1012125082,1014858886,1014559113,1014559113,1017358133,1014375716,1014892214,1012423705,1387618464,1012423705,1021212820,1015605159,1010585656,1015605159,1007904201,1015605159,1014380755,1010163805,1018660066,1017931946,1387618464,1287776330,1483381518,1273909034,1022509560,1007904201,1007904201,1016248010,1023924144,1015806599,1015806599
XXX,2,CAD,2790526.97,2483608.42,2860341.6,2474172.46,2122770.06,2590117.28,2122770.06,2832551.99,2122770.06,2005153.31,1974145.21,1974667.28,2528162.94,2066276.8,2014864.58,2063987.95,2063987.95,2844513.21,2063987.95,2618079.88,2609385.54,2687174.28,2587791.05,2755799.61,2590117.28,2590117.28,2670379.25,2812545.02,2844137.6,2868034.17,2799418.38,2844513.21,2844513.21,2854197.17,2776002.26,2793116.15,2790526.97,2687174.28,2790526.97,2824597.03,2839482.28,2866243.14,2839482.28,2515689.37,2839482.28,2817039.17,2715720.61,2693027.42,2463845.14,2687174.28,2533097.61,2648724.91,2605226.97,2522864.34,2515689.37,2515689.37,2536007.89,2461185.13,2474172.46,2474172.46
XXX,9,SEK,629932.28,631352.77,632075.35,628615.68,646536.64,638156.19,646536.64,630640.19,646536.64,643933.91,645332.69,644476.9,632326.34,645915.02,644716.82,646491.04,646491.04,629680.82,646491.04,647895.75,646669.65,626320.84,640391.35,634721.95,638156.19,638156.19,637300.52,636346.14,629387.64,633787.02,630751.24,629680.82,629680.82,631432,632783.72,630313.45,629932.28,626320.84,629932.28,632098.87,628747.24,626228.93,628747.24,630794.07,628747.24,629339.92,626036.27,623579.51,629384.87,626320.84,631363.34,624073.62,626871.33,630469.59,630794.07,630794.07,634380.94,629806.6,628615.68,628615.68
XXX,11,USD,1171122104,1396840132,1191988999,1402596554,2023533273,2786621389,2023533273,1455036675,2023533273,2031831455,2313100638,2323977446,1266657053,2140160599,2303075021,2305981397,2305981397,1462807110,2305981397,1836180482,2018425218,808429596.4,2306069041,2310094572,2786621389,2786621389,2596725010,2029339114,1461430998,1749952043,953830330.2,1462807110,1462807110,1459857237,1463173516,1175627054,1171122104,808429596.4,1171122104,1768712914,963366500.4,783981219.5,963366500.4,1083023528,963366500.4,954841962,952747491.1,945254039.4,1131268375,808429596.4,1089070610,809214189.3,1089044429,1085393633,1083023528,1083023528,1400654809,1400338154,1402596554,1402596554
XXX,13,Total cve,2218305535,2445288620,2244068849,2453033318,3836678631,3434898084,3836678631,2504747730,3836678631,3819954528,4153483018,3879937264,2465413624,3679791094,4146498648,3967855252,3967855252,2513184709,3967855252,3374817095,3239625596,2416721390,3356913849,3391352746,3434898084,3434898084,3647582892,3118489522,2511813696,2798282731,2004979949,2513184709,2513184709,2512719993,2513573515,2225398990,2218305535,2416721390,2218305535,2826671603,2015352419,1830961691,2015352419,2124903508,2015352419,2005957355,1999187686,2000624051,2183576405,2416721390,2600309017,2513288631,2585356847,2142010222,2124903508,2124903508,2449951429,2458850239,2453033318,2453033318
